Timestamp (ms),X,Y,Z
296146035.0,16.06,10.27,-4.05
296148015.0,64.13,-41.95,70.49
296149995.0,0.94,-82.45,23.89
296151976.0,-15.05,-43.04,12.18
296153956.0,-48.23,-8.03,22.79
296155936.0,39.49,-27.55,24.13
296157916.0,3.62,-31.82,-10.76
296159896.0,8.99,2.1,65.86
296161877.0,-42.98,14.17,-0.75
296163857.0,-31.64,-30.6,44.87
296165837.0,-25.54,7.95,-21.74
296167817.0,6.06,29.42,60.49
296169797.0,11.79,9.54,77.45
296171778.0,3.25,-8.76,-47.72
296173758.0,-10.65,-17.42,25.11
296175738.0,-25.66,-7.3,92.33
296177718.0,35.71,-4.86,18.16
296179698.0,35.46,-22.18,-60.17
296181679.0,56.32,-77.33,53.78
296183659.0,-16.39,-18.77,49.02
296185639.0,-1.63,-42.31,72.2
296187619.0,-3.82,-44.87,-43.94
296189599.0,32.53,-16.57,-22.84
296191580.0,0.81,13.93,103.19
296193560.0,-39.32,-8.76,-7.95
296195540.0,-50.67,-18.52,30.23
296197520.0,-32.37,-9.74,58.54
296199501.0,-7.97,42.6,-5.88
296201481.0,7.89,-21.45,61.22
296203461.0,-17.0,0.51,48.05
296205441.0,-1.63,-1.08,28.53
296207421.0,-5.29,-34.75,60.98
296209402.0,27.53,-29.75,18.52
296211382.0,29.12,-3.27,-4.29
296213362.0,44.86,-38.16,48.78
296215342.0,-1.14,-75.62,39.26
296217322.0,-0.28,-45.61,-0.02
296219303.0,-20.54,-14.98,34.63
296221283.0,34.0,-19.5,20.96
296223263.0,-8.58,-30.48,-7.59
296225243.0,-3.94,-2.54,47.07
296227223.0,-49.08,16.37,34.63
296229204.0,-44.2,-4.25,36.82
296231184.0,-33.35,17.83,-48.7
296233164.0,0.08,27.35,37.92
296235144.0,10.45,16.0,101.6
296237124.0,-2.11,0.14,-26.01
296239105.0,9.11,-9.37,23.65
296241085.0,-4.92,-9.62,63.42
296243065.0,52.05,-10.84,48.66
296245045.0,21.8,-17.3,-80.05
296247026.0,27.9,-83.18,78.79
296249006.0,-6.26,-14.01,72.2
296250986.0,-4.07,-49.88,45.36
296252966.0,7.28,-59.39,-25.52
296254946.0,6.18,-14.37,-61.27
296256927.0,-3.58,8.56,91.97
296258907.0,-48.35,-26.7,13.15
296260887.0,-42.62,-20.23,37.43
296262867.0,-26.27,-2.54,55.0
296264847.0,-10.78,43.7,-34.06
296266828.0,22.29,-25.11,15.96
296268808.0,-15.17,-4.37,68.18
296270788.0,0.33,1.0,60.12
296272768.0,-17.85,-15.11,33.53
296274748.0,30.7,-36.09,23.28
296276729.0,28.14,8.07,-26.62
296278709.0,37.78,-38.53,96.11
296280689.0,-3.82,-61.22,66.83
296282669.0,-14.56,-41.09,-54.68
296284649.0,-21.63,-11.32,51.22
296286630.0,19.6,-8.27,-1.49
296288610.0,-12.73,-22.91,31.45
296290590.0,-4.55,-9.25,41.7
296292570.0,-58.11,9.54,12.67
296294551.0,-44.94,4.41,23.65
296296531.0,-35.91,17.47,-30.03
296298511.0,24.97,18.44,73.79
296300491.0,8.13,13.81,72.32
296302471.0,-3.21,1.0,-14.78
296304452.0,-24.07,-15.96,-17.83
296306432.0,9.6,-9.13,128.2
296308412.0,49.49,-3.64,29.62
296310392.0,17.65,-36.09,-62.85
296312372.0,35.83,-54.02,25.96
296314353.0,-15.29,-11.69,61.34
296316333.0,5.82,-43.41,78.91
296318313.0,-6.87,-47.68,-60.9
296320293.0,10.82,-15.59,0.71
296322273.0,3.5,6.0,87.57
296324254.0,-37.98,-22.55,-16.61
296326234.0,-56.16,-0.1,0.59
296328214.0,-24.81,1.97,73.79
296330194.0,-1.87,53.7,-8.81
296332174.0,16.19,-32.06,27.31
296334155.0,-6.51,6.12,30.36
296336135.0,-17.24,14.17,42.68
296338115.0,-28.95,-14.62,103.31
296340095.0,36.32,-39.38,-30.89
296342075.0,24.6,-3.88,-15.64
296344056.0,36.8,-41.7,155.53
296346036.0,-14.07,-45.12,-0.27
