Timestamp (ms),X,Y,Z
1213041708.0,2.12,-0.74,16.02
1213043689.0,-0.57,0.72,20.17
1213045669.0,6.27,-2.33,17.24
1213047649.0,2.97,-2.33,19.07
1213049629.0,4.07,-1.96,11.38
1213051610.0,4.19,-0.01,20.66
1213053590.0,5.29,0.36,22.73
1213055570.0,7.61,-1.11,17.48
1213057550.0,0.65,-1.11,26.51
1213059530.0,5.41,0.97,21.51
1213061511.0,5.9,-2.82,19.19
1213063491.0,7.12,-0.01,17.24
1213065471.0,0.9,-0.74,16.26
1213067451.0,2.0,2.06,22.36
1213069431.0,0.65,0.48,17.85
1213071412.0,5.66,0.48,14.43
1213073392.0,4.44,-2.94,18.95
1213075372.0,-1.42,0.97,20.66
1213077352.0,1.14,-0.38,16.02
1213079332.0,2.85,1.58,22.12
1213081313.0,3.34,3.28,16.51
1213083293.0,3.09,0.84,18.34
1213085273.0,2.97,1.82,12.97
1213087253.0,0.29,0.84,22.36
1213089233.0,0.53,-1.47,18.58
1213091214.0,4.19,4.02,12.6
1213093194.0,-0.81,1.09,18.83
1213095174.0,3.58,3.77,13.46
1213097154.0,-2.52,0.48,17.85
1213099135.0,7.0,0.84,18.22
1213101115.0,5.05,3.04,18.95
1213103095.0,-0.44,-1.11,16.75
1213105075.0,2.97,-0.5,18.46
1213107055.0,3.22,1.21,18.95
1213109036.0,1.87,-2.08,18.09
1213111016.0,3.09,0.48,14.8
1213112996.0,2.73,-0.01,18.22
1213114976.0,2.73,0.97,18.58
1213116956.0,0.41,1.45,15.29
1213118937.0,3.95,-3.43,13.09
1213120917.0,-2.4,-0.38,16.87
1213122897.0,1.75,-2.94,17.12
1213124877.0,1.75,0.11,19.92
1213126857.0,1.26,-0.74,18.83
1213128838.0,-0.32,-0.25,14.07
1213130818.0,-0.2,-1.72,15.29
1213132798.0,-2.52,-0.62,13.21
1213134778.0,7.24,0.6,18.22
1213136758.0,3.58,-0.62,16.75
1213138739.0,2.61,1.58,12.6
1213140719.0,4.07,0.84,15.78
1213142699.0,2.73,3.04,16.39
1213144679.0,-0.57,-1.6,11.38
1213146659.0,5.9,0.48,15.9
1213148640.0,6.02,-0.74,18.95
1213150620.0,5.17,-2.33,15.78
1213152600.0,3.95,-0.86,17.48
1213154580.0,3.58,-0.62,16.75
1213156561.0,2.0,-2.21,22.61
1213158541.0,-0.69,0.36,19.92
1213160521.0,3.83,-0.74,19.31
1213162501.0,4.92,-0.86,16.75
1213164481.0,3.83,-5.5,18.7
1213166462.0,-1.79,1.7,12.85
1213168442.0,1.87,-0.86,15.41
1213170422.0,6.14,2.92,10.16
1213172402.0,3.34,0.97,17.0
1213174382.0,3.95,2.19,19.07
1213176363.0,4.07,0.11,15.04
1213178343.0,5.29,2.31,17.0
1213180323.0,7.12,-1.11,18.7
1213182303.0,5.66,-2.69,17.24
1213184283.0,5.05,-0.62,15.9
1213186264.0,0.29,1.33,16.14
1213188244.0,4.07,2.19,14.31
1213190224.0,4.8,-3.06,14.19
1213192204.0,1.75,-1.11,17.73
1213194184.0,3.46,-0.5,17.85
1213196165.0,2.24,-0.74,17.73
1213198145.0,0.9,0.6,18.83
1213200125.0,0.17,-0.62,11.75
1213202105.0,3.22,0.36,15.41
1213204086.0,2.0,1.45,19.07
1213206066.0,-2.4,2.19,15.78
1213208046.0,5.41,1.7,17.73
1213210026.0,1.75,0.72,14.07
1213212006.0,4.8,-0.5,15.53
1213213987.0,2.85,-2.33,18.58
1213215967.0,5.9,-0.5,18.09
1213217947.0,4.92,0.36,16.87
1213219927.0,1.26,3.77,17.48
1213221907.0,2.24,1.82,20.9
1213223888.0,3.95,0.84,16.26
1213225868.0,2.0,0.48,24.68
1213227848.0,3.95,0.36,16.51
1213229828.0,2.97,-0.38,20.17
1213231808.0,0.53,-2.33,14.68
1213233789.0,2.12,3.28,17.12
1213235769.0,1.63,-0.86,16.87
1213237749.0,7.36,1.82,20.41
1213239729.0,2.73,2.19,22.97
1213241709.0,4.92,-3.67,20.9
1213243690.0,1.51,-0.62,14.56
1213245670.0,5.05,5.6,17.48
1213247650.0,8.34,0.36,16.63
1213249630.0,5.66,0.84,19.31
1213251611.0,2.24,-0.01,20.17
1213253591.0,9.07,1.94,16.26
1213255571.0,2.12,-1.35,18.46
1213257551.0,1.26,-0.86,14.8
1213259531.0,2.48,1.09,19.19
1213261512.0,6.02,-1.84,20.66
1213263492.0,-0.2,-3.67,18.95
1213265472.0,3.7,-1.72,19.31
1213267452.0,0.9,-1.6,17.97
1213269432.0,3.46,-4.65,19.92
1213271413.0,4.56,1.33,14.68
1213273393.0,0.53,-5.5,14.19
1213275373.0,-0.57,0.6,17.73
1213277353.0,3.46,0.48,19.92
1213279333.0,2.36,-0.99,14.07
1213281314.0,2.12,-1.72,19.19
1213283294.0,3.22,-0.62,22.36
1213285274.0,0.53,-2.08,18.83
1213287254.0,-0.57,-7.21,11.63
1213289234.0,1.75,-0.13,12.36
1213291215.0,-2.15,-1.6,16.39
1213293195.0,2.61,0.97,16.02
1213295175.0,4.92,-0.5,12.6
1213297155.0,5.05,-3.18,17.85
1213299135.0,2.48,-1.35,22.36
