Timestamp (ms),X,Y,Z
1587940613.0,28.35,-25.63,147.05
1587942593.0,31.52,79.53,127.77
1587944573.0,74.71,53.3,105.45
1587946553.0,135.22,198.36,-34.0
1587948533.0,-46.93,-48.32,-168.93
1587950514.0,55.43,-164.22,479.25
1587952494.0,-96.58,-203.14,-361.81
1587954474.0,63.0,-215.22,13.58
1587956454.0,-1.79,-13.92,123.26
1587958435.0,-71.57,-73.33,-42.66
1587960415.0,72.51,253.51,-5.94
1587962395.0,-129.64,98.69,-351.44
1587964375.0,182.8,58.92,310.77
1587966355.0,-62.42,-49.3,-145.75
1587968336.0,98.13,-122.13,240.26
1587970316.0,-44.61,-30.02,-187.48
1587972296.0,-13.38,-125.06,123.87
1587974276.0,-38.02,137.85,137.53
1587976256.0,-228.95,19.39,-287.39
1587978237.0,104.96,128.33,25.9
1587980217.0,62.26,180.06,-179.67
1587982197.0,142.17,80.88,364.33
1587984177.0,-71.94,100.27,129.36
1587986157.0,-16.3,-45.03,-5.82
1587988138.0,96.06,76.12,203.41
1587990118.0,-191.25,-202.41,-16.8
1587992098.0,-25.21,-140.19,222.44
1587994078.0,-134.28,-65.16,-408.42
1587996058.0,90.69,28.54,-19.36
1587998039.0,-16.18,103.57,102.4
1588000019.0,14.2,51.11,214.39
1588001999.0,191.95,142.61,93.49
1588003979.0,-15.69,-47.47,-344.0
1588005960.0,17.61,-140.07,254.41
1588007940.0,-184.05,-245.84,-148.19
1588009920.0,-24.84,-120.42,98.49
1588011900.0,8.58,85.15,-328.63
1588013880.0,25.54,71.97,126.67
1588015861.0,45.92,326.58,33.22
1588017841.0,-111.1,161.27,-306.55
1588019821.0,105.45,108.57,130.58
1588021801.0,-15.57,-50.52,-223.71
1588023781.0,52.5,-77.72,331.76
1588025762.0,7.85,-43.32,-36.44
1588027742.0,-49.85,-104.08,94.59
1588029722.0,-44.24,39.52,-229.2
1588031702.0,-164.78,13.17,-75.97
1588033682.0,67.14,165.18,94.95
1588035663.0,38.11,74.04,-213.1
1588037643.0,113.26,61.97,261.61
1588039623.0,22.49,51.11,138.87
1588041603.0,14.2,-94.07,217.08
1588043583.0,87.88,-102.37,43.84
1588045564.0,-99.26,-268.53,30.66
1588047544.0,-31.92,-64.91,207.44
1588049524.0,-180.15,-129.82,-331.31
1588051504.0,1.26,143.34,11.99
1588053485.0,-18.26,167.25,-34.73
1588055465.0,-5.57,74.04,139.0
1588057445.0,142.05,141.39,159.37
1588059425.0,7.36,-97.98,-221.88
1588061405.0,43.23,-69.18,347.37
1588063386.0,-155.26,-172.64,-153.56
1588065366.0,-26.31,-50.4,26.51
1588067346.0,28.1,24.02,-222.25
1588069326.0,-21.79,89.66,187.67
1588071306.0,78.61,265.34,-29.97
1588073287.0,-17.04,116.99,-183.57
1588075267.0,65.44,179.21,260.51
1588077247.0,-45.71,-53.93,-82.8
1588079227.0,51.89,-79.68,195.6
1588081207.0,68.85,-138.97,-127.57
1588083188.0,48.36,-181.42,128.87
1588085168.0,56.04,-46.61,42.13
1588087148.0,-97.56,-85.29,-71.09
1588089128.0,58.48,159.93,46.28
1588091108.0,-19.72,50.62,-274.1
1588093089.0,127.17,31.83,288.32
1588095069.0,74.83,10.6,-14.6
1588097049.0,91.91,-165.56,196.34
1588099029.0,-13.01,-106.52,-65.35
1588101009.0,-120.49,-267.68,124.72
1588102990.0,-13.86,29.03,198.04
1588104970.0,-127.45,-56.86,-332.41
1588106950.0,89.1,117.11,41.88
1588108930.0,-4.84,188.11,-59.62
1588110911.0,51.65,76.24,230.01
1588112891.0,46.77,102.84,37.13
1588114871.0,1.51,-89.92,15.29
1588116851.0,8.22,53.79,375.68
1588118831.0,-177.22,-143.48,-230.18
1588120812.0,-2.4,-95.78,-56.2
1588122792.0,-7.4,-43.81,-230.79
1588124772.0,39.08,-26.73,260.39
1588126752.0,65.68,106.13,127.77
1588128732.0,17.61,68.19,-57.18
1588130713.0,78.49,192.51,88.61
1588132693.0,-60.59,-53.57,-184.79
1588134673.0,111.67,-107.25,370.19
1588136653.0,-79.26,-193.14,-305.82
1588138633.0,46.53,-204.12,24.8
1588140614.0,-17.89,-3.3,108.25
1588142594.0,-70.11,-53.69,-71.09
1588144574.0,88.86,252.41,32.12
1588146554.0,-89.99,112.6,-259.33
1588148534.0,139.98,33.42,191.46
1588150515.0,-22.89,-47.47,-176.5
1588152495.0,24.93,-114.69,270.27
1588154475.0,-75.23,-42.95,-62.67
1588156455.0,-86.82,-153.49,-9.97
1588158436.0,40.55,115.65,119.96
1588160416.0,-163.19,16.22,-257.38
1588162396.0,126.19,120.53,91.9
1588164376.0,22.13,161.76,-97.44
1588166356.0,139.37,51.47,289.91
1588168337.0,-4.59,101.37,45.54
1588170317.0,-1.91,-53.57,100.93
1588172297.0,44.21,16.34,189.63
1588174277.0,-239.56,-208.87,-111.23
1588176257.0,-63.15,-84.19,186.82
1588178238.0,-153.68,-74.31,-393.29
1588180218.0,91.79,35.0,99.71
1588182198.0,29.2,135.78,69.7
1588184178.0,31.28,83.8,41.88
1588186158.0,156.81,137.0,-4.23
1588188139.0,-35.21,-33.93,-98.54
1588190119.0,64.7,-160.44,302.48
1588192099.0,-121.71,-217.41,-372.92
1588194079.0,-25.58,-79.43,23.34
1588196059.0,-47.29,83.8,-66.09
1588198040.0,-73.03,70.63,173.03
1588200020.0,28.23,337.56,-162.22
1588202000.0,-72.06,169.57,-275.19
1588203980.0,145.96,135.04,334.2
1588205961.0,-16.3,-21.24,-191.75
1588207941.0,45.18,-62.72,244.89
1588209921.0,55.19,-67.84,-84.02
1588211901.0,-14.23,-94.93,72.26
1588213881.0,70.19,54.4,-36.2
1588215862.0,-127.57,-27.46,-97.93
1588217842.0,55.8,122.84,80.44
1588219822.0,-36.8,36.71,-254.7
1588221802.0,78.98,84.41,308.45
1588223782.0,15.54,14.39,58.6
1588225763.0,-3.25,-151.29,120.33
1588227743.0,156.2,-118.23,188.89
1588229723.0,-80.23,-273.17,1.99
1588231703.0,-46.93,-43.32,48.11
1588233683.0,-187.23,-102.25,-288.61
1588235664.0,80.2,113.82,102.64
1588237644.0,48.72,189.7,-87.31
1588239624.0,57.87,90.88,146.8
1588241604.0,85.32,110.03,141.44
1588243584.0,-45.1,-116.76,-128.92
1588245565.0,-8.25,7.8,333.46
1588247545.0,-166.61,-209.61,-150.75
1588249525.0,1.51,-92.12,-13.02
1588251505.0,12.49,27.81,-223.95
1588253486.0,7.36,77.09,101.18
